"animal_id","species","breed","age","gender","size","color","spayed_neutered","declawed","housetrained","location","intake_date","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"14305543","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 10 months 18 days","Male","Large","White/Brown","","No","Unknown","Foster Home",2022-05-13,"Bob Barker",2022-09-04,2022-09-04 03:47:42,114,12,"White"
"19228208","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","14 years 6 months 11 days","Male","Large","White/Brown","","No","Unknown","Doggie Den",2022-09-02,"Snoop",2022-09-04,2022-09-04 03:47:42,2,14,"White"
"28001497","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","15 years 3 months","Male","Large","Tan","","No","Unknown","Rover Refuge",2022-09-01,"Pat Huxtable (Mr. Fox)",2022-09-04,2022-09-04 03:47:42,3,15,"Tan"
"33852112","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 5 months 7 days","Female","Small","Brown","","No","Unknown","Doggie Town",2022-08-27,"Starbright",2022-09-04,2022-09-04 03:47:42,8,6,"Brown"
"36428896","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 6 months 2 days","Male","Large","Brindle/White","","No","Unknown","Mutt Hut",2022-08-20,"Titan",2022-09-04,2022-09-04 03:47:42,15,6,"Brindle"
"37208300","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 3 months 13 days","Female","Medium","Grey/White",NA,"No","Unknown","Foster Home",2022-08-15,"Cali",2022-09-04,2022-09-04 03:47:42,20,6,"Grey"
"43893641","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 6 months 10 days","Male","Large","Brown","","No","Unknown","Foster Home",2022-08-02,"Brodie",2022-09-04,2022-09-04 03:47:42,33,6,"Brown"
"46882050","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 4 months 24 days","Male","Large","Blue/White","","No","Unknown","Foster Home",2022-08-08,"Blue DabaDee",2022-09-04,2022-09-04 03:47:42,27,2,"Blue"
"47474021","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 4 months 30 days","Male","Large","Brown/White","","No","Unknown","Doggie Den",2022-08-26,"Chance",2022-09-04,2022-09-04 03:47:42,9,2,"Brown"
"48265373","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years  1 month 15 days","Male","XL","Black","","No","Unknown","Doggie Den",2022-08-26,"Rufus",2022-09-04,2022-09-04 03:47:42,9,4,"Black"
