"animal_id","species","breed","age","gender","size","color","declawed","housetrained","location","intake_date","spayed_neutered","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"23110615","Dog","Mixed Breed, Small (under 24 lbs fully grown)/Mix","8 years 7 months","Female","Small","Grey","No","Unknown","Pooch Place",2022-10-12,NA,"Sophia",2022-10-13,2022-10-13 03:54:56,1,8,"Grey"
"30165489","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 11 months  1 day","Female","Large","Tan","No","Unknown","Office",2022-10-06,"","Gucci",2022-10-13,2022-10-13 03:54:56,7,8,"Tan"
"30704953","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","12 years 8 months 15 days","Male","Large","Grey/White","No","Unknown","Foster Home",2022-09-07,"","Jeremy (Tadoe)",2022-10-13,2022-10-13 03:54:56,36,12,"Grey"
"31242951","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 5 months 8 days","Male","Large","Black/White","No","Unknown","Office",2022-09-30,"","Max",2022-10-13,2022-10-13 03:54:56,13,7,"Black"
"33852112","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 6 months 15 days","Female","Large","Brown","No","Unknown","Foster Home",2022-08-27,"","Starbright",2022-10-13,2022-10-13 03:54:56,47,6,"Brown"
"37472097","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 years  1 month 16 days","Male","Small","Brown/White","No","Unknown","Doggie Den",2022-10-09,"","Diesel",2022-10-13,2022-10-13 03:54:56,4,5,"Brown"
"39270889","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 11 months 8 days","Female","Large","Black","No","Unknown","Pooch Place",2022-10-11,"","Clea",2022-10-13,2022-10-13 03:54:56,2,4,"Black"
"40481888","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 9 months 11 days","Female","Large","Brindle","No","Unknown","Foster Home",2022-09-18,"","Mama",2022-10-13,2022-10-13 03:54:56,25,5,"Brindle"
"41274685","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 6 months 3 days","Male","Large","Tan","No","Unknown","Doggie Den",2022-10-04,"","Banz (Angelo)",2022-10-13,2022-10-13 03:54:56,9,6,"Tan"
"41901670","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","8 years 4 months 4 days","Female","Large","Black/White","No","Unknown","Foster Home",2022-08-27,"","Soulja Girl (Pixie)",2022-10-13,2022-10-13 03:54:56,47,8,"Black"
"43232564","Dog","Mastiff/Mix","3 years 2 months 4 days","Male","Small","Fawn","No","Unknown","Dog Quarantine",2022-10-06,NA,"Paco",2022-10-13,2022-10-13 03:54:56,7,3,"Fawn"
"43232623","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 2 months 4 days","Male","XL","Fawn/Black","No","Unknown","Dog Quarantine",2022-10-06,"","Juda",2022-10-13,2022-10-13 03:54:56,7,3,"Fawn"
"43325255","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 3 months 15 days","Female","Large","Blue/White","No","Unknown","Foster Home",2022-09-02,"","TugRope 10 (Moma)",2022-10-13,2022-10-13 03:54:56,41,3,"Blue"
"43331139","Dog","Terrier, Pit Bull/Mix","3 years  1 day","Female","Large","Grey/White","No","Unknown","Rover Refuge",2022-10-05,"","Lila (Nyla)",2022-10-13,2022-10-13 03:54:56,8,3,"Grey"
"45081316","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","5 years 2 months 28 days","Female","Medium","Brown","No","Unknown","Foster Home",2022-09-27,"","Sophia",2022-10-13,2022-10-13 03:54:56,16,5,"Brown"
"45162628","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 2 months 16 days","Male","Large","Brown/White","No","Unknown","Foster Home",2022-09-07,"","Quail",2022-10-13,2022-10-13 03:54:56,36,4,"Brown"
"47545481","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 5 months 28 days","Male","Large","Fawn/White","No","Unknown","Doggie Town",2022-09-26,"","Sol (Cain)",2022-10-13,2022-10-13 03:54:56,17,4,"Fawn"
"47907907","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 4 months 10 days","Male","Large","Tan/White","No","Unknown","Franky Fund- sent to hospital",2022-10-08,"","Alfred",2022-10-13,2022-10-13 03:54:56,5,7,"Tan"
"48270408","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","1 year 4 months 23 days","Female","Medium","Brown/White","No","Unknown","Mutt Hut",2022-09-29,"","Sweettooth (Zoey)",2022-10-13,2022-10-13 03:54:56,14,1,"Brown"
"49050294","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 11 months 3 days","Female","Large","Blue/White","No","Unknown","Dog Intake",2022-10-11,"","Meatball (Roxy)",2022-10-13,2022-10-13 03:54:56,2,2,"Blue"
"49411625","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 6 months","Female","Large","White/Black","No","Unknown","Foster Home",2022-06-20,"","Go-Kart (Skylee)",2022-10-13,2022-10-13 03:54:56,115,1,"White"
"49443331","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 24 days","Female","Medium","White/Tan","No","Unknown","Foster Home",2022-03-04,"","Clover",2022-10-13,2022-10-13 03:54:56,223,1,"White"
"49573513","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","6 years 8 months 3 days","Female","Large","Black/White","No","Unknown","Doggie Town",2022-09-27,"","Maya (Mimi)",2022-10-13,2022-10-13 03:54:56,16,6,"Black"
"49867569","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","3 years 6 months 14 days","Female","Medium","White/Brown","No","Unknown","Foster Home",2022-05-10,"","Sugar",2022-10-13,2022-10-13 03:54:56,156,3,"White"
"50047780","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years 21 days","Female","Large","Blue/Black","No","Yes","Rover Refuge",2022-09-22,"","Sheila",2022-10-13,2022-10-13 03:54:56,21,4,"Blue"
"50193895","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 4 months 27 days","Male","Large","Brown/White","No","Unknown","Foster Home",2022-05-15,"","Marmaduke (Ace)",2022-10-13,2022-10-13 03:54:56,151,7,"Brown"
"50295440","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years 4 months 15 days","Female","Large","Black/White","No","Unknown","Rover Refuge",2022-09-25,"","Jayla",2022-10-13,2022-10-13 03:54:56,18,5,"Black"
"50366285","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 4 months 7 days","Female","Medium","Brindle","No","Unknown","Doggie Den",2022-09-18,"","Tiana",2022-10-13,2022-10-13 03:54:56,25,1,"Brindle"
"50394641","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","7 years 4 months 4 days","Female","Medium","Brown/White","No","Unknown","Foster Home",2022-06-09,"","Darby",2022-10-13,2022-10-13 03:54:56,126,7,"Brown"
"50496060","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 3 months 22 days","Male","Large","Grey","No","Unknown","Foster Home",2022-09-14,"","Phanta (RJ)",2022-10-13,2022-10-13 03:54:56,29,1,"Grey"
"50532850","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 3 months 17 days","Female","Large","Brown/White","No","Unknown","Mutt Hut",2022-09-26,"","Cove (Nyla)",2022-10-13,2022-10-13 03:54:56,17,2,"Brown"
"50569145","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years 3 months 13 days","Female","Large","Black/White","No","Unknown","Foster Home",2022-06-30,"","Black Diamond",2022-10-13,2022-10-13 03:54:56,105,7,"Black"
